Age,Gender,Country,Occupation,Marital Status,Daily Social Media Time (hrs),Daily Entertainment Time (hrs),Daily Messaging Time (hrs),Daily Video Content Time (hrs),Daily Gaming Time (hrs),Primary Platform,Screen Time (hrs),Device Type,Internet Speed (Mbps),Data Plan Used,Social Media Fatigue Level (scale 1-10),Digital Well-being Awareness,Tech Savviness Level (scale 1-10),Average Sleep Time (hrs),Sleep Quality (scale 1-10),Social Isolation Feeling (scale 1-10),Physical Activity Time (hrs),Monthly Income (USD),Monthly Expenditure on Entertainment (USD),Subscription Platforms,Preferred Content Type,Primary Social Media Goal,Preferred Entertainment Platform,Time Spent in Online Communities (hrs),News Consumption Time (hrs)
32,Other,Germany,Student,Widowed,4.35,4.08,0.35,5.43,4.68,TikTok,7.33,PC,83.45,50GB,2,Moderate,9,6.44,7,8,0.59,1838.33,33.04,1,Series,Education,Netflix,3.12,2.82
62,Other,India,Professional,Widowed,4.96,4.21,2.55,4.22,0.41,YouTube,4.23,PC,28.28,10GB,5,Low,9,4.7,8,2,1.31,8352.0,497.78,1,News,Networking,Netflix,1.36,0.32
51,Female,USA,Student,Divorced,6.78,1.77,2.09,1.09,4.38,Facebook,4.45,Smartphone,89.81,10GB,3,High,9,4.78,5,3,1.8,3698.74,71.72,5,Series,Entertainment,Spotify,1.97,1.25
44,Female,India,Retired,Widowed,5.06,9.21,3.69,4.8,4.82,YouTube,11.49,PC,38.69,10GB,1,Low,7,8.68,9,9,2.3,9328.14,129.62,5,Short Videos,Education,Spotify,3.47,2.65
21,Other,Germany,Student,Widowed,2.57,1.3,3.97,2.74,4.4,TikTok,7.14,Smartphone,89.87,Unlimited,4,Low,7,5.75,5,9,1.46,5402.92,35.9,0,Series,Education,Amazon Prime,2.32,1.44
21,Male,Canada,Student,Divorced,4.69,1.7,2.6,4.92,2.81,Facebook,6.35,Smartphone,69.29,Unlimited,2,High,9,4.95,6,1,2.45,8749.51,49.41,3,Short Videos,Entertainment,Netflix,1.91,2.01
16,Male,Germany,Retired,Married,3.59,5.89,2.44,2.76,0.39,TikTok,2.57,Tablet,16.29,50GB,7,Low,8,4.41,2,2,2.17,4156.94,95.29,3,Series,Entertainment,Amazon Prime,2.81,1.66
58,Female,USA,Retired,Married,4.2,2.77,3.54,0.69,3.38,Facebook,7.22,Smartphone,62.2,Unlimited,2,Low,2,6.15,9,1,2.58,4061.59,9.65,3,Movies,Networking,Amazon Prime,1.52,2.9
44,Other,Germany,Unemployed,Married,5.3,7.9,4.26,6.05,4.49,TikTok,9.51,PC,35.19,Unlimited,3,Low,2,5.99,5,2,1.9,6280.52,445.16,0,Short Videos,Networking,Amazon Prime,3.67,2.63
49,Other,India,Student,Divorced,3.62,6.65,0.35,4.79,0.96,Instagram,4.51,Smartphone,97.52,10GB,2,Low,7,8.78,6,9,2.53,5276.19,294.21,5,Series,Networking,YouTube,3.72,1.37
14,Male,UK,Professional,Divorced,2.58,8.08,4.79,3.56,3.85,Instagram,9.47,Smartphone,92.53,Unlimited,1,Moderate,2,5.99,1,9,0.4,4037.0,253.37,1,Series,Networking,Amazon Prime,2.34,1.73
63,Other,Germany,Retired,Single,1.86,5.19,1.05,4.98,3.99,TikTok,2.47,Smartphone,69.05,50GB,7,Moderate,2,4.81,1,9,1.95,3434.34,184.57,5,Short Videos,Entertainment,Amazon Prime,2.71,1.68
56,Male,UK,Retired,Single,0.51,9.35,2.04,4.09,0.49,Facebook,3.27,Smartphone,29.39,Unlimited,5,Moderate,8,6.01,4,1,1.52,8607.65,62.41,5,Short Videos,Networking,Netflix,2.14,2.53
24,Male,Germany,Retired,Widowed,6.0,0.66,1.92,3.57,0.61,Twitter,4.84,PC,50.31,50GB,1,Low,1,4.33,2,2,2.29,2846.62,389.03,1,Series,Networking,Spotify,3.07,0.6
22,Female,Canada,Professional,Widowed,3.73,2.71,0.32,4.01,2.47,Instagram,4.0,PC,48.86,50GB,4,Low,1,7.44,9,9,2.24,6013.22,166.1,3,Series,Education,Spotify,1.57,0.87
22,Female,Germany,Retired,Widowed,3.1,6.19,4.9,4.98,0.47,Twitter,9.58,Tablet,75.63,10GB,9,Moderate,2,8.57,4,7,2.69,5875.0,290.59,4,Movies,Education,Netflix,0.22,2.51
28,Male,Australia,Student,Widowed,1.94,8.94,1.8,0.97,3.22,Facebook,3.6,PC,71.28,Unlimited,8,Low,9,5.84,9,4,0.27,7342.82,440.49,1,Short Videos,Entertainment,YouTube,2.53,1.96
40,Other,Australia,Unemployed,Single,3.9,4.65,2.25,5.81,0.89,Facebook,2.24,Tablet,14.84,50GB,2,High,8,7.59,2,5,0.68,8416.41,467.96,0,Short Videos,Entertainment,Netflix,3.08,0.76
35,Male,Germany,Retired,Single,7.73,4.47,1.73,6.11,4.22,Twitter,3.39,Smartphone,83.34,50GB,6,Moderate,1,5.77,3,7,2.6,9745.38,12.89,1,Short Videos,Education,YouTube,1.8,2.42
28,Female,Germany,Unemployed,Single,1.21,4.57,3.1,4.12,4.62,TikTok,4.14,Tablet,47.71,50GB,2,Low,4,7.72,2,6,1.54,7236.3,360.74,4,Movies,Education,Amazon Prime,3.26,2.44
44,Male,UK,Professional,Widowed,6.08,9.33,2.33,0.76,2.21,TikTok,6.56,Smartphone,38.67,Unlimited,8,Moderate,3,6.36,1,4,0.24,9223.01,467.84,0,Short Videos,Networking,YouTube,0.51,2.75
20,Male,Canada,Unemployed,Single,7.15,6.15,4.73,2.76,4.11,Twitter,2.29,PC,93.48,50GB,9,Moderate,4,5.76,4,9,0.46,3181.35,490.45,1,Movies,Entertainment,Amazon Prime,2.27,2.09
28,Male,Canada,Unemployed,Married,7.03,3.96,2.78,0.5,1.04,Instagram,9.68,PC,46.2,Unlimited,1,Low,7,7.94,5,9,1.88,1198.4,102.96,4,Movies,News,YouTube,0.39,1.62
32,Female,USA,Professional,Divorced,0.78,0.55,0.57,2.65,0.0,Facebook,6.12,Tablet,94.63,Unlimited,5,Low,1,6.34,6,1,0.15,9625.09,280.82,1,Series,Entertainment,Spotify,0.89,2.07
36,Female,USA,Retired,Widowed,7.72,5.83,1.37,5.21,2.44,YouTube,7.39,Tablet,48.75,50GB,6,Low,7,5.27,2,8,2.89,569.76,34.81,0,Movies,News,Netflix,3.34,1.28
53,Male,India,Retired,Married,6.01,9.02,0.35,5.29,3.59,TikTok,8.16,Tablet,8.15,10GB,5,High,3,7.22,9,5,0.25,5958.93,31.34,3,Short Videos,Entertainment,Amazon Prime,3.36,1.9
23,Other,UK,Unemployed,Widowed,1.59,5.55,1.34,5.85,4.46,Twitter,10.42,Smartphone,88.88,10GB,1,High,1,7.0,2,3,0.59,2915.69,479.83,1,Short Videos,Networking,Netflix,0.83,0.48
39,Female,India,Professional,Single,3.55,7.91,3.75,6.0,4.4,TikTok,10.58,Tablet,67.5,Unlimited,5,High,3,6.46,6,8,2.09,505.26,249.04,4,Series,Education,Netflix,3.87,1.55
43,Other,India,Student,Divorced,7.62,2.04,3.2,4.36,0.87,Facebook,4.59,Smartphone,98.78,Unlimited,3,High,7,6.08,9,5,1.98,9113.14,467.02,4,Short Videos,Entertainment,YouTube,0.98,0.69
15,Other,Germany,Unemployed,Married,6.9,1.8,1.65,3.92,1.06,YouTube,5.39,Tablet,97.59,Unlimited,2,Moderate,9,4.4,1,9,1.38,5996.04,244.33,2,Movies,Networking,Amazon Prime,1.35,2.4
44,Other,Australia,Student,Widowed,3.08,8.99,0.47,4.74,1.77,YouTube,7.12,Smartphone,10.9,50GB,9,Moderate,5,8.51,5,5,1.83,3235.95,119.05,5,News,Education,Amazon Prime,3.94,2.69
21,Male,USA,Unemployed,Married,0.62,7.94,1.85,6.92,4.59,YouTube,7.69,PC,14.29,10GB,3,High,9,6.77,3,1,1.28,9696.43,197.4,0,Movies,Education,Netflix,2.61,0.8
16,Other,UK,Professional,Divorced,2.73,3.8,1.13,3.04,4.79,Facebook,4.79,Smartphone,59.75,Unlimited,2,Low,9,4.82,5,7,1.62,7201.88,453.35,2,Series,Entertainment,YouTube,0.98,2.74
62,Other,Canada,Unemployed,Married,1.05,8.1,3.03,0.7,0.26,Instagram,10.9,Tablet,38.56,50GB,6,Low,8,8.72,8,4,2.89,5703.36,40.11,1,Short Videos,Entertainment,Amazon Prime,2.33,2.38
